Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights
hostages,1.0,shinji,0.2,anime,42.5,netflix,43.4,euphoria,1.1
carlisle,0.2,haruka,0.2,manga,35.0,seasons,37.1,leftover,0.2
georgian,0.2,localization,0.2,japanese,17.4,comedy,35.5,salmon,0.2
octane,0.2,natsuki,0.2,volume,9.1,school,30.2,athletes,0.2
assassinate,0.2,sayaka,0.2,japan,7.3,bbc,29.9,deficit,0.2
tactical,0.2,hui,0.2,funimation,7.0,crime,28.8,pornography,0.2
seize,0.2,ikeda,0.2,kim,7.0,game,28.7,beetle,0.2
hostage,0.2,asami,0.2,tokyo,7.0,pilot,28.4,compilations,0.2
thrust,0.2,australasia,0.2,shonen,6.9,novel,27.8,rehabilitation,0.2
sanders,0.2,rin,0.2,jung,6.5,voiced,27.7,comparable,0.2
captive,0.2,seol,0.2,soo,6.1,team,27.3,usher,0.2
shooter,0.2,chibi,0.2,jin,6.0,man,26.3,trees,0.2
chill,0.2,takashi,0.2,korean,5.4,detective,25.6,groove,0.2
rogue,0.2,mecha,0.2,hee,5.3,john,25.6,grapple,0.2
surgeon,0.2,dubs,0.2,min,5.3,guest,25.5,vinnie,0.2
israeli,0.2,shim,0.2,yoon,5.0,police,25.1,israeli,0.2
suspense,0.2,tamura,0.2,hyun,4.8,animation,25.0,wrestler,0.2
blackmail,0.2,yuji,0.2,crunchyroll,4.7,book,24.8,biology,0.2
painting,0.2,kaito,0.2,eun,4.4,million,24.7,muse,0.2
compel,0.2,furukawa,0.2,choi,4.4,music,24.4,iglesias,0.2
disambiguation,0.2,chae,0.2,joon,4.4,murder,23.9,recovery,0.2
reasons,0.2,simulcasting,0.2,english,4.4,channel,23.8,addiction,0.2
federal,0.2,hak,0.2,kodansha,4.4,video,23.7,karma,0.2
assassination,0.2,yamashita,0.2,ova,4.2,michael,23.7,firefly,0.2
desperate,0.2,translations,0.2,seo,4.1,city,23.3,software,0.2
duncan,0.2,hostages,0.2,jae,4.0,dvd,23.3,groups,0.2
operate,0.2,oda,0.2,yoo,4.0,abc,23.1,collide,0.2
shinji,0.2,ayumi,0.2,license,4.0,david,22.8,eponymous,0.2
wrong,0.2,yamada,0.2,circulation,3.9,war,22.7,albums,0.2
haruka,0.2,sequential,0.2,tankobon,3.9,version,22.4,sunshine,0.2
